Dates;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1981-06-22;;;;;11,73;;;;;;;;;;;;;;;
1981-06-23;;;;;11,64;;;;;;;;;;;;;;;
1981-06-24;;;;;11,58;;;;;;;;;;;;;;;
1981-06-25;;;;;11,56;;;;;;;;;;;;;;;
1981-06-26;;;;;11,63;;;;;;;;;;;;;;;
1981-06-29;;;;;11,58;;;;;;;;;;;;;;;
1981-06-30;;;;;11,59;;;;;;;;;;;;;;;
1981-07-01;;;;;11,98;;;;;;;;;;;;;;;
1981-07-02;;;;;12,16;;;;;;;;;;;;;;;
1981-07-03;;;;;12,188139534883721;;;;;;;;;;;;;;;
1981-07-06;;;;;13,016744186046513;;;;;;;;;;;;;;;
1981-07-07;;;;;12,616744186046512;;;;;;;;;;;;;;;
1981-07-08;;;;;12,615116279069767;;;;;;;;;;;;;;;
1981-07-09;;;;;12,914418604651162;;;;;;;;;;;;;;;
1981-07-10;;;;;12,935116279069767;;;;;;;;;;;;;;;
1981-07-13;;;;;12,780697674418604;;;;;;;;;;;;;;;
1981-07-14;;;;;12,887906976744185;;;;;;;;;;;;;;;
1981-07-15;;;;;12,941395348837208;;;;;;;;;;;;;;;
1981-07-16;;;;;13,07186046511628;;;;;;;;;;;;;;;
1981-07-17;;;;;13,70139534883721;;;;;;;;;;;;;;;
1981-07-20;;;;;13,736744186046511;;;;;;;;;;;;;;;
1981-07-21;;;;;14,190000000000001;;;;;;;;;;;;;;;
1981-07-22;;;;;14,189999999999998;;;;;;;;;;;;;;;
1981-07-23;;;;;14,03;;;;;;;;;;;;;;;
1981-07-24;;;;;14,09;;;;;;;;;;;;;;;
1981-07-27;;;;;13,774418604651164;;;;;;;;;;;;;;;
1981-07-28;;;;;13,776046511627907;;;;;;;;;;;;;;;
1981-07-29;;;;;13,76860465116279;;;;;;;;;;;;;;;
1981-07-30;;;;;13,796976744186047;;;;;;;;;;;;;;;
1981-07-31;;;;;13,846511627906978;;;;;;;;;;;;;;;
1981-08-03;;;;;13,849069767441861;;;;;;;;;;;;;;;
1981-08-04;;;;;13,836279069767443;;;;;;;;;;;;;;;
1981-08-05;;;;;13,633488372093023;;;;;;;;;;;;;;;
1981-08-06;;;;;13,594883720930234;;;;;;;;;;;;;;;
1981-08-07;;;;;13,55;;;;;;;;;;;;;;;
1981-08-10;;;;;13,439534883720931;;;;;;;;;;;;;;;
1981-08-11;;;;;13,270697674418605;;;;;;;;;;;;;;;
1981-08-12;;;;;13,007906976744184;;;;;;;;;;;;;;;
